streamDictionary.streamName,streamDictionary.streamSrc,latitude,longitude
I-44 & SH-51,https://stream.oktraffic.org/delay-stream/be2c6c2a858a6b5a.stream/playlist.m3u8,36.11393,-95.89715
US-169 & SH-51 N,https://stream.oktraffic.org/hls/b6198315abc26ed5.stream/playlist.m3u8,36.09775,-95.8592
US-169 & SH-51 S,https://stream.oktraffic.org/hls/6937da3618b18db4.stream/playlist.m3u8,36.09775,-95.8592
US-169 & SH-51 NW,https://stream.oktraffic.org/hls/478980318f940c46.stream/playlist.m3u8,36.09775,-95.8592
US-169 & SH-51 SE,https://stream.oktraffic.org/hls/8776cc88ab3a7c83.stream/playlist.m3u8,36.09775,-95.8592
US-169 & SH-51,https://stream.oktraffic.org/delay-stream/825520a8861f57e0.stream/playlist.m3u8,36.09775,-95.8592
SH-51 & E129th NW,https://stream.oktraffic.org/delay-stream/30b524001f1269fa.stream/playlist.m3u8,36.08578,-95.82837
SH-51 & E129th SE,https://stream.oktraffic.org/delay-stream/a5c28faa6d834600.stream/playlist.m3u8,36.08578,-95.82837
SH-51 & E129th,https://stream.oktraffic.org/delay-stream/624f951ec5b3657f.stream/playlist.m3u8,36.08578,-95.82837
I-44 & US-169 N,https://stream.oktraffic.org/delay-stream/1876a1dbfea223a7.stream/playlist.m3u8,36.13892,-95.86049
I-44 & US-169 S,https://stream.oktraffic.org/delay-stream/445e5dd4f1aade1e.stream/playlist.m3u8,36.13892,-95.86049
I-44 & US-169 NE,https://stream.oktraffic.org/delay-stream/ef31c6632f7eead7.stream/playlist.m3u8,36.13892,-95.86049
I-235 & N13th S,https://stream.oktraffic.org/delay-stream/d599d75f89f212c9.stream/playlist.m3u8,35.48214091,-97.51050174
I-235 & N13th W,https://stream.oktraffic.org/delay-stream/4b4afa4658bba1e1.stream/playlist.m3u8,35.48214091,-97.51050174
I-235 & N13th,https://stream.oktraffic.org/delay-stream/9f8508693d1eb0a0.stream/playlist.m3u8,35.48214091,-97.51050174
I-235 & N23rd N,https://stream.oktraffic.org/delay-stream/2329e66dfa72d330.stream/playlist.m3u8,35.49209705,-97.51129835
I-235 & N23rd S,https://stream.oktraffic.org/delay-stream/0c9be4f7bf0c94de.stream/playlist.m3u8,35.49209705,-97.51129835
I-235 & N36th N,https://stream.oktraffic.org/delay-stream/9bf912b6a98f8c1e.stream/playlist.m3u8,35.50887623,-97.51498773
I-235 & N36th E,https://stream.oktraffic.org/delay-stream/704365898580f3fe.stream/playlist.m3u8,35.50887623,-97.51498773
I-235 & N36th W,https://stream.oktraffic.org/delay-stream/b932de83ab8ba8b1.stream/playlist.m3u8,35.50887623,-97.51498773
I-235 & N36th,https://stream.oktraffic.org/delay-stream/d56587a69d43dd22.stream/playlist.m3u8,35.50887623,-97.51498773
I-35 & S15th N,https://stream.oktraffic.org/delay-stream/174cd5326291a61e.stream/playlist.m3u8,35.44961233,-97.48711422
I-35 & S15th S,https://stream.oktraffic.org/delay-stream/5ad5a4fa1e9db769.stream/playlist.m3u8,35.44961233,-97.48711422
I-35 & S15th E,https://stream.oktraffic.org/delay-stream/e843fbe452a983ef.stream/playlist.m3u8,35.44961233,-97.48711422
I-35 & S15th W,https://stream.oktraffic.org/delay-stream/f3a35dccac418e0b.stream/playlist.m3u8,35.44961233,-97.48711422
I-35 & S15th,https://stream.oktraffic.org/delay-stream/c4670e5bcae6b870.stream/playlist.m3u8,35.44961233,-97.48711422
I-35 & S66th N,https://stream.oktraffic.org/delay-stream/98344742e9530fd3.stream/playlist.m3u8,35.39924263,-97.49541565
I-35 & S66th S,https://stream.oktraffic.org/delay-stream/27b74b3ec70d4277.stream/playlist.m3u8,35.39924263,-97.49541565
I-35 & S66th E,https://stream.oktraffic.org/delay-stream/2a6226b839d143b8.stream/playlist.m3u8,35.39924263,-97.49541565
I-35 & S66th W,https://stream.oktraffic.org/delay-stream/ecda0824d5f9b108.stream/playlist.m3u8,35.39924263,-97.49541565
I-35 & S66th,https://stream.oktraffic.org/delay-stream/cec0c1c62318eea3.stream/playlist.m3u8,35.39924263,-97.49541565
I-35 & S44th N,https://stream.oktraffic.org/delay-stream/ca52a7ae1e7460c3.stream/playlist.m3u8,35.42054823,-97.4886243
I-35 & S44th S,https://stream.oktraffic.org/delay-stream/ea9292e7842b803a.stream/playlist.m3u8,35.42054823,-97.4886243
I-35 & S44th E,https://stream.oktraffic.org/delay-stream/00a9fa32bb64a9c5.stream/playlist.m3u8,35.42054823,-97.4886243
I-35 & S44th W,https://stream.oktraffic.org/delay-stream/7dd427233322f2c9.stream/playlist.m3u8,35.42054823,-97.4886243
I-35 & S44th,https://stream.oktraffic.org/delay-stream/c4ba85cf79c75d55.stream/playlist.m3u8,35.42054823,-97.4886243
I-40 & I-235 S,https://stream.oktraffic.org/delay-stream/8d1372d2af88f24e.stream/playlist.m3u8,35.46259723,-97.49594271
I-40 & I-235 N,https://stream.oktraffic.org/delay-stream/eb42612f4f8289ba.stream/playlist.m3u8,35.46259723,-97.49594271
I-40 & I-235 W,https://stream.oktraffic.org/delay-stream/0656d0bf7c694844.stream/playlist.m3u8,35.46259723,-97.49594271
I-40 & I-235 E,https://stream.oktraffic.org/delay-stream/a8a8d1bbd7f71c3c.stream/playlist.m3u8,35.46259723,-97.49594271
I-35 & I-44 N,https://stream.oktraffic.org/delay-stream/3f39298fbde82f0b.stream/playlist.m3u8,35.538508,-97.460944
I-35 & I-44 S,https://stream.oktraffic.org/delay-stream/7f371b1442cdf2ca.stream/playlist.m3u8,35.538508,-97.460944
I-35 & I-44 W,https://stream.oktraffic.org/delay-stream/6e8b931b821f4250.stream/playlist.m3u8,35.538508,-97.460944
I-44 & Lincoln W,https://stream.oktraffic.org/delay-stream/50e7fc20c84b6248.stream/playlist.m3u8,35.52921,-97.50356
I-44 & Lincoln E,https://stream.oktraffic.org/delay-stream/2433473556144b83.stream/playlist.m3u8,35.52921,-97.50356
US-169 & 61st NB,https://stream.oktraffic.org/delay-stream/3c73f9949522b79a.stream/playlist.m3u8,36.07579572,-95.85921049
US-169 & 61st SB,https://stream.oktraffic.org/delay-stream/18ad3d7f50bc1f8c.stream/playlist.m3u8,36.07579572,-95.85921049
US-169 & 61st EB,https://stream.oktraffic.org/delay-stream/c1a0834b0330248c.stream/playlist.m3u8,36.07579572,-95.85921049
US-169 & 61st WB,https://stream.oktraffic.org/delay-stream/3aaa4998c28324d1.stream/playlist.m3u8,36.07579572,-95.85921049
US-169 & 61st,https://stream.oktraffic.org/delay-stream/9998fe4e43717a97.stream/playlist.m3u8,36.07579572,-95.85921049
US-169 & Pine NB,https://stream.oktraffic.org/delay-stream/d13ca4902b47c5fe.stream/playlist.m3u8,36.17722817,-95.85656047
US-169 & Pine SB,https://stream.oktraffic.org/delay-stream/8bd83f690b5547b4.stream/playlist.m3u8,36.17722817,-95.85656047
US-169 & Pine EB,https://stream.oktraffic.org/delay-stream/c0c6635fcacf1b61.stream/playlist.m3u8,36.17722817,-95.85656047
US-169 & Pine WB,https://stream.oktraffic.org/delay-stream/eb5fd1bbde823d29.stream/playlist.m3u8,36.17722817,-95.85656047
US-169 & Pine,https://stream.oktraffic.org/delay-stream/b86ec3f017d15888.stream/playlist.m3u8,36.17722817,-95.85656047
I-44 & Yale,https://stream.oktraffic.org/delay-stream/a75afd53b647aa4d.stream/playlist.m3u8,36.09528275,-95.92279226
I-44 & Yale N,https://stream.oktraffic.org/delay-stream/f42e971829272bad.stream/playlist.m3u8,36.09528275,-95.92279226
I-44 & Yale S,https://stream.oktraffic.org/delay-stream/3a7f2235ed2adc77.stream/playlist.m3u8,36.09528275,-95.92279226
I-44 & Yale NE,https://stream.oktraffic.org/delay-stream/1c950d9e0ed7481e.stream/playlist.m3u8,36.09528275,-95.92279226
I-44 & Yale SW,https://stream.oktraffic.org/delay-stream/3c7b040c26feaf23.stream/playlist.m3u8,36.09528275,-95.92279226
I-44 & 41st,https://stream.oktraffic.org/delay-stream/4d90914497a237f1.stream/playlist.m3u8,36.1026692,-95.91293782
